203,203,Mustard,male,30,person,US,n/a,n/a,Los Angeles,n/a,,
204,204,Lil Tecca,male,17,person,US,n/a,n/a,n/a,Queens,,
205,205,Alesso,male,29,person,SE,n/a,n/a,Stockholm,n/a,,
206,206,Doja Cat,female,24,person,US,n/a,n/a,Los Angeles,n/a,,
207,207,Billy Ray Cyrus,male,58,person,US,n/a,n/a,Flatwoods,n/a,,
208,208,Maiara & Maraisa,mixed,0,group,BR,n/a,n/a,,,,
209,209,Lizzo,female,32,person,US,n/a,n/a,Detroit,n/a,,
210,210,Tory Lanez,male,28,person,CA,n/a,n/a,Brampton,n/a,,
211,211,BLACKPINK,mixed,3,group,KR,n/a,n/a,Seoul,n/a,,
212,212,Willy William,male,39,person,FR,n/a,n/a,Fréjus,n/a,,
213,213,Liam Payne,male,26,person,GB,n/a,n/a,Wolverhampton,n/a,,
214,214,Tiësto,male,51,person,NL,n/a,n/a,Breda,n/a,,
215,215,Goodboys,mixed,0,group,,London,n/a,London,n/a,,
216,216,MEDUZA,male,0,person,IT,n/a,n/a,Milan,n/a,,
217,217,Flo Rida,male,40,person,US,n/a,n/a,n/a,Carol City,,
218,218,CNCO,mixed,4,group,US,n/a,n/a,Miami,n/a,,
219,219,Ufo361,male,32,person,DE,n/a,n/a,Berlin,n/a,,
220,220,Rafa Pabön,male,0,person,PR,n/a,n/a,,,,
221,221,Juan Magán,male,41,person,ES,n/a,n/a,n/a,n/a,,
222,222,Galantis,mixed,8,group,SE,n/a,n/a,Stockholm,n/a,,
223,223,Lil Mosey,male,18,person,US,n/a,n/a,Seattle,n/a,,
224,224,Childish Gambino,male,36,person,US,n/a,n/a,Edwards Air Force Base,n/a,,
225,225,Mike Posner,male,32,person,US,n/a,n/a,Detroit,n/a,,
226,226,Dean Lewis,male,32,person,AU,n/a,n/a,Sydney,n/a,,
227,227,Maren Morris,female,30,person,US,n/a,n/a,Arlington,n/a,,
228,228,Rudimental,mixed,10,group,GB,n/a,n/a,n/a,n/a,,
229,229,Prince Royce,male,31,person,US,n/a,n/a,New York,n/a,,
230,230,Dan + Shay,mixed,7,group,US,n/a,n/a,Nashville,n/a,,
231,231,Morat,mixed,5,group,CO,n/a,n/a,Bogotá,n/a,,
232,232,Cazzu,,26,,AR,n/a,n/a,,,,
233,233,Khea,male,20,person,AR,n/a,n/a,Buenos Aires,n/a,,
